strain	ori	ter	genomesize	cdscumskew
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4202841	9884618	-465
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3903564	9583224	-392
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3645585	9363258	-375
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	3947604	9687558	-380
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3773630	9505623	-331
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	3960542	9677166	-389
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3882771	9580235	-358
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3886095	9568506	-341
B_lablabiGAS165.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3907149	7000646	-422
B_lablabiGAS165.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3759493	6852990	-65
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	2985523	6920616	-300
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	2985523	6976864	-385
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	2985523	6961199	-298
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	2985523	6869331	-265
B_lablabiGAS165.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3315486	6408983	-78
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3276629	6785284	271
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	3409301	6917948	316
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3058540	6567196	263
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3019176	6527827	222
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	3409302	6917949	314
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	3421708	6930343	299
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	3292514	7052617	233
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	3441291	6983671	355
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3278530	6766844	270
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	3605005	7081931	395
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3305728	6780537	322
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3047749	6560571	305
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	3349768	6884871	310
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3175794	6702936	261
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	3362706	6874479	319
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3284935	6777548	288
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3288259	6765819	271
B_lablabiGAS499.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3890882	8831723	179
B_lablabiGAS499.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3890882	8684067	-178
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3890882	8751693	-237
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3890882	8807941	-322
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3890882	8792276	-235
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3890882	8700408	-202
B_lablabiGAS499.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4220845	8240060	-15
B_lablabiGAS522.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4958645	9009751	-334
B_lablabiGAS522.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4037019	8862095	-153
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4037019	8929721	-212
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4037019	8985969	-297
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4037019	8970304	-210
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4037019	8878436	-177
B_lablabiGAS522.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4366982	8418088	10
B_lablabiMT34.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4927351	9072592	-372
B_lablabiMT34.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4005725	8924936	-191
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4005725	8992562	-250
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4005725	9048810	-335
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4005725	9033145	-248
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4005725	8941277	-215
B_lablabiMT34.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4335688	8480929	-28
B_oligotrophicum_S58.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4048856	9001034	-215
B_oligotrophicum_S58.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4067027	9185789	228
B_oligotrophicum_S58.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4067027	9038133	-129
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4908623	9105759	106
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4964871	9162007	191
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4949206	9146342	104
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4857338	9054474	71
B_oligotrophicum_S58.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4396990	8594126	34
B_ottawaenseGAS524.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	5099243	9260839	-423
B_ottawaenseGAS524.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4177617	9113183	-242
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4177617	9180809	-301
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4177617	9237057	-386
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4177617	9221392	-299
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4177617	9129524	-266
B_ottawaenseGAS524.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4507580	8669176	-79
B_sp._AT1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4283092	8437069	-18
B_sp._AT1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	5057062	8289413	339
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	5124688	8357039	398
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	5180936	8413287	483
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	5165271	8397622	396
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	5073403	8305754	363
B_sp._AT1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4613055	7845406	326
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3468408	8221707	-392
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	3468400	8354371	-437
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3468409	8003619	-384
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3468404	7964250	-343
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	3468400	8354372	-435
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	3468388	8366766	-420
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	3719856	8489040	-354
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	3502133	8420094	-476
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3448067	8203267	-391
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	3436679	8518354	-516
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3434562	8216960	-443
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3472575	7996994	-426
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	3494856	8321294	-431
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3486895	8139359	-382
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	3471526	8310902	-440
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3452366	8213971	-409
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3437313	8202242	-392
B_sp._BF49.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4541142	8284562	85
B_sp._BF49.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4725897	8469317	469
B_sp._BF49.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3804271	8321661	111
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3804271	8389287	53
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3804271	8445535	-32
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3804271	8429870	55
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3804271	8338002	88
B_sp._BF49.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3804271	7877654	124
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	5096235	8253955	-90
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	5228907	8386619	-45
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4878146	8035867	-98
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4838782	7996498	-139
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	5228908	8386620	-47
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	5241314	8399014	-62
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	5112120	8521288	-128
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	5260897	8452342	-6
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	5098136	8235515	-91
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	5424611	8550602	34
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	5125334	8249208	-39
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4867355	8029242	-56
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	5169374	8353542	-51
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4995400	8171607	-100
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	5182312	8343150	-42
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	5104541	8246219	-73
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	5107865	8234490	-90
B_sp._BTAi1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	5041891	9186311	-207
B_sp._BTAi1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4120265	9038655	-26
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4120265	9106281	-85
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4120265	9162529	-170
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4120265	9146864	-83
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4120265	9054996	-50
B_sp._BTAi1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4450228	8594648	137
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	3109867	7780400	-189
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4851119	7965155	392
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4703463	7817499	211
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3929493	7885125	-24
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3929493	7941373	-109
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3929493	7925708	-22
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3929493	7833840	11
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3929493	7373492	48
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3587186	7749793	-210
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	3587178	7882457	-255
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3587187	7531705	-202
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3587182	7492336	-161
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	3587178	7882458	-253
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	3587166	7894852	-238
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	3838634	8017126	-172
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	3620911	7948180	-294
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3566845	7731353	-209
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	3555457	8046440	-334
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3553340	7745046	-261
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3591353	7525080	-244
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	3613634	7849380	-249
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3605673	7667445	-200
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	3590304	7838988	-258
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3571144	7742057	-227
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3556091	7730328	-210
B_sp._DOA1.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	3857587	7971111	-5
B_sp._DOA1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4328074	8155866	338
B_sp._DOA1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3406448	8008210	-19
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3406448	8075836	-78
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3406448	8132084	-163
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3406448	8116419	-76
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3406448	8024551	-43
B_sp._DOA1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3406448	7564203	-6
B_sp._DOA9.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4448977	7851333	19
B_sp._DOA9.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4464741	8036088	270
B_sp._DOA9.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3543115	7888432	-87
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3543115	7956058	-146
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3543115	8012306	-231
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3543115	7996641	-144
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3543115	7904773	-111
B_sp._DOA9.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3873078	7444425	76
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4217478	7820726	-18
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4350150	7953390	27
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3999389	7602638	-26
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3960025	7563269	-67
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4350151	7953391	25
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4362557	7965785	10
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4233363	8088059	-56
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4382140	8019113	66
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4219379	7802286	-19
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4545854	8117373	106
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4246577	7815979	33
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3988598	7596013	16
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4290617	7920313	21
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4116643	7738378	-28
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4303555	7909921	30
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4225784	7812990	-1
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4229108	7801261	-18
B_sp._ORS278.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4576462	8378211	-184
B_sp._ORS278.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3654836	8230555	-3
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4496432	8298181	232
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4552680	8354429	317
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4537015	8338764	230
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4445147	8246896	197
B_sp._ORS278.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3654836	7786548	10
B_sp._ORS285.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4884482	8718722	-288
B_sp._ORS285.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3962856	8571066	-107
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3962856	8638692	-165
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3962856	8694940	-250
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3962856	8679275	-163
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3962856	8587407	-130
B_sp._ORS285.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4292819	8127059	56
B_sp._S23321.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4537849	7968710	6
B_sp._S23321.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3507797	8153465	-285
B_sp._S23321.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3507797	8005809	-104
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3507797	8073435	-163
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3507797	8129683	-248
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3507797	8114018	-161
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3507797	8022150	-128
B_sp._S23321.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3507797	7561802	-91
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3957908	7938103	-55
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4090580	8070767	-10
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3739819	7720015	-63
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3700455	7680646	-104
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4090581	8070768	-12
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4102987	8083162	-27
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	3973793	8205436	-93
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4122570	8136490	29
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3959809	7919663	-56
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4286284	8234750	69
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3987007	7933356	-4
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3729028	7713390	-21
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4031047	8037690	-16
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3857073	7855755	-65
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4043985	8027298	-7
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3966214	7930367	-38
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3969538	7918638	-55
B_sp._SK17CBNU.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4037855	8924714	410
B_sp._SK17CBNU.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4037855	8777058	53
B_sp._SK17CBNU.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4037855	8844684	288
B_sp._SK17CBNU.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4037855	8900932	373
B_sp._SK17CBNU.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4037855	8885267	286
B_sp._SK17CBNU.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4037855	8793399	253
B_sp._SK17CBNU.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4367818	8333051	216
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3970448	8709352	-100
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4103120	8842016	-55
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3752359	8491264	-108
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3712995	8451895	-149
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4103121	8842017	-57
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4115527	8854411	-72
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	3986333	8976685	-138
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4135110	8907739	-16
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3972349	8690912	-101
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4298824	9005999	24
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3999547	8704605	-49
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3741568	8484639	-66
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4043587	8808939	-61
B_sp._SK17CBNU.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3869613	8627004	-110
